,Does your employer provide mental health benefits as part of healthcare coverage?,Do you know the options for mental health care available under your employer-provided coverage?,"Has your employer ever formally discussed mental health (for example, as part of a wellness campaign or other official communication)?",Does your employer offer resources to learn more about mental health concerns and options for seeking help?,Is your anonymity protected if you choose to take advantage of mental health or substance abuse treatment resources provided by your employer?,"If a mental health issue prompted you to request a medical leave from work, asking for that leave would be:",Do you think that discussing a mental health disorder with your employer would have negative consequences?,Do you think that discussing a physical health issue with your employer would have negative consequences?,Would you feel comfortable discussing a mental health disorder with your coworkers?,Would you feel comfortable discussing a mental health disorder with your direct supervisor(s)?,Do you feel that your employer takes mental health as seriously as physical health?,Have you heard of or observed negative consequences for co-workers who have been open about mental health issues in your workplace?,Would you have been willing to discuss a mental health issue with your direct supervisor(s)?,Do you feel that being identified as a person with a mental health issue would hurt your career?,Do you think that team members/co-workers would view you more negatively if they knew you suffered from a mental health issue?,How willing would you be to share with friends and family that you have a mental illness?,Have you observed or experienced an unsupportive or badly handled response to a mental health issue in your current or previous workplace?,Have your observations of how another individual who discussed a mental health disorder made you less likely to reveal a mental health issue yourself in your current workplace?,Do you have a family history of mental illness?,Have you had a mental health disorder in the past?,Do you currently have a mental health disorder?,Have you been diagnosed with a mental health condition by a medical professional?,Have you ever sought treatment for a mental health issue from a mental health professional?,"If you have a mental health issue, do you feel that it interferes with your work when being treated effectively?","If you have a mental health issue, do you feel that it interferes with your work when NOT being treated effectively?",What is your age?,What is your gender?,What country do you work in?,Do you work remotely?
100,Yes,Yes,Yes,Yes,Yes,Very easy,Yes,Maybe,No,No,Yes,No,,"Yes, I think it would","Yes, I think they would",Not applicable to me (I do not have a mental illness),No,,I don't know,No,No,No,1,Not applicable to me,Not applicable to me,55,Female,United States of America,Never
101,Yes,Yes,Yes,Yes,Yes,Neither easy nor difficult,Maybe,No,Maybe,Maybe,No,No,"No, at none of my previous employers","Yes, I think it would",Maybe,Somewhat open,Maybe/Not sure,No,No,Yes,Yes,No,0,Not applicable to me,Not applicable to me,21,Male,United States of America,Never
102,I don't know,I am not sure,No,I don't know,I don't know,Neither easy nor difficult,Maybe,No,Maybe,Yes,I don't know,No,"Yes, at all of my previous employers",Maybe,Maybe,Somewhat open,No,,No,No,No,No,0,Not applicable to me,Not applicable to me,35,Male,United States of America,Always
103,No,I am not sure,No,No,I don't know,Neither easy nor difficult,Maybe,Maybe,Maybe,Maybe,I don't know,No,Some of my previous employers,"Yes, I think it would",Maybe,Somewhat open,Maybe/Not sure,No,I don't know,Maybe,No,No,1,Not applicable to me,Not applicable to me,37,Male,United States of America,Always
104,Yes,No,No,Yes,I don't know,Neither easy nor difficult,Maybe,Maybe,No,Maybe,No,No,Some of my previous employers,"Yes, I think it would","Yes, I think they would",Somewhat not open,No,,I don't know,Maybe,Maybe,No,0,Not applicable to me,Sometimes,45,Male,United States of America,Sometimes
105,No,N/A,No,No,No,Neither easy nor difficult,Maybe,Maybe,Yes,Yes,No,No,"No, at none of my previous employers","Yes, it has",Maybe,Not open at all,Maybe/Not sure,No,Yes,Yes,Yes,Yes,1,Sometimes,Often,26,Male,United States of America,Never
106,Yes,I am not sure,No,I don't know,Yes,Somewhat easy,Maybe,Maybe,Maybe,No,I don't know,No,,"Yes, I think it would",Maybe,Somewhat open,No,,No,No,No,No,0,Not applicable to me,Not applicable to me,23,Male,United States of America,Sometimes
107,Yes,Yes,No,No,Yes,Somewhat difficult,Maybe,No,No,No,No,No,Some of my previous employers,"Yes, I think it would",Maybe,Somewhat open,"Yes, I observed",No,Yes,Yes,Yes,Yes,1,Sometimes,Often,22,Female,United States of America,Sometimes
108,I don't know,I am not sure,No,No,I don't know,Somewhat easy,No,No,Maybe,Maybe,I don't know,No,Some of my previous employers,Maybe,"Yes, I think they would",Somewhat open,Maybe/Not sure,No,Yes,Yes,Yes,Yes,1,Rarely,Often,46,Female,United States of America,Always
109,Yes,I am not sure,I don't know,I don't know,I don't know,Very easy,No,No,Yes,Yes,Yes,No,I don't know,"No, it has not","No, they do not",Very open,No,,Yes,Maybe,Yes,Yes,1,Sometimes,Often,27,Male,United States of America,Always
110,Yes,Yes,No,No,Yes,Somewhat difficult,Maybe,No,Maybe,Maybe,Yes,No,"No, at none of my previous employers","Yes, I think it would",Maybe,Somewhat open,"Yes, I observed",Maybe,Yes,Yes,Yes,Yes,1,Rarely,Often,40,Male,United States of America,Never
111,Yes,Yes,Yes,Yes,Yes,Somewhat easy,No,No,Yes,Yes,Yes,No,Some of my previous employers,"No, I don't think it would","No, they do not",Somewhat open,No,,I don't know,Yes,Yes,Yes,1,Sometimes,Often,37,Male,United States of America,Sometimes
112,Yes,Yes,I don't know,Yes,Yes,Somewhat difficult,No,No,Yes,Yes,Yes,No,Some of my previous employers,Maybe,Maybe,Not applicable to me (I do not have a mental illness),Maybe/Not sure,No,Yes,Maybe,No,No,1,Not applicable to me,Not applicable to me,34,Female,United States of America,Never
113,Yes,No,No,I don't know,I don't know,Very easy,No,No,Yes,Yes,Yes,No,Some of my previous employers,"No, I don't think it would",Maybe,Very open,No,,No,Yes,Yes,Yes,1,Rarely,Often,40,Male,United States of America,Sometimes
114,Yes,No,No,I don't know,I don't know,Very easy,Maybe,No,Maybe,Maybe,I don't know,No,Some of my previous employers,"Yes, I think it would","Yes, I think they would",Very open,Maybe/Not sure,Yes,No,Yes,Maybe,Yes,1,Never,Sometimes,39,Male,United States of America,Sometimes
115,Yes,I am not sure,I don't know,Yes,I don't know,Somewhat easy,Maybe,No,Maybe,Maybe,Yes,No,Some of my previous employers,Maybe,Maybe,Somewhat open,No,,Yes,Yes,Yes,Yes,1,Rarely,Sometimes,28,Male,United States of America,Always
116,Yes,Yes,No,No,I don't know,Somewhat difficult,Maybe,Maybe,Yes,Yes,I don't know,No,Some of my previous employers,Maybe,Maybe,Somewhat open,"Yes, I observed",Maybe,No,Yes,Yes,Yes,1,Sometimes,Often,49,Female,United States of America,Sometimes
117,Yes,Yes,Yes,Yes,Yes,Neither easy nor difficult,Maybe,No,Yes,Maybe,Yes,No,"No, at none of my previous employers",Maybe,Maybe,Neutral,Maybe/Not sure,No,Yes,Yes,No,Yes,1,Rarely,Often,32,Male,United States of America,Sometimes
118,Yes,Yes,No,Yes,I don't know,Somewhat difficult,Yes,Maybe,No,No,No,No,"No, at none of my previous employers","Yes, I think it would","Yes, I think they would",Somewhat not open,No,,Yes,Yes,Yes,Yes,1,Sometimes,Often,42,Male,United States of America,Sometimes
119,Yes,Yes,No,Yes,Yes,Somewhat difficult,Maybe,No,Maybe,Yes,Yes,No,Some of my previous employers,"Yes, I think it would","Yes, I think they would",Somewhat open,Maybe/Not sure,Yes,Yes,Yes,Maybe,No,1,Sometimes,Often,33,Female,United States of America,Always
120,Yes,Yes,No,Yes,I don't know,Somewhat easy,No,No,Yes,Yes,No,Yes,Some of my previous employers,Maybe,"No, they do not",Very open,"Yes, I observed",No,Yes,Yes,Yes,Yes,1,Sometimes,Sometimes,29,Female,United States of America,Sometimes
121,I don't know,I am not sure,No,No,I don't know,Somewhat difficult,Maybe,No,Maybe,Yes,Yes,No,Some of my previous employers,Maybe,Maybe,Somewhat open,Maybe/Not sure,N/A,No,Yes,Maybe,No,1,Sometimes,Sometimes,29,Male,United States of America,Always
122,I don't know,No,No,No,I don't know,Somewhat difficult,Maybe,No,No,No,I don't know,No,Some of my previous employers,"No, I don't think it would","No, I don't think they would",Very open,No,,No,Yes,Yes,Yes,1,Sometimes,Often,30,Male,United States of America,Always
123,No,No,No,No,I don't know,Somewhat difficult,Yes,No,No,No,I don't know,No,Some of my previous employers,Maybe,"Yes, I think they would",Somewhat open,No,,Yes,Yes,Yes,Yes,1,Rarely,Often,44,Male,United States of America,Always
124,Yes,Yes,I don't know,I don't know,Yes,Somewhat easy,No,No,Maybe,Yes,Yes,No,Some of my previous employers,"No, I don't think it would","No, I don't think they would",Neutral,No,,Yes,Yes,No,Yes,1,Rarely,Sometimes,42,Male,United States of America,Always
125,I don't know,No,No,No,I don't know,Neither easy nor difficult,Maybe,Maybe,No,No,Yes,No,I don't know,Maybe,"No, I don't think they would",Not applicable to me (I do not have a mental illness),N/A,,No,No,No,No,0,Not applicable to me,Not applicable to me,29,Male,United States of America,Always
126,I don't know,No,I don't know,I don't know,I don't know,I don't know,Maybe,Maybe,Maybe,Maybe,No,No,,Maybe,Maybe,Not applicable to me (I do not have a mental illness),No,,No,No,No,No,0,Not applicable to me,Not applicable to me,25,Male,United States of America,Sometimes
127,I don't know,No,No,I don't know,I don't know,Somewhat easy,No,No,Maybe,Yes,No,No,Some of my previous employers,"No, I don't think it would",Maybe,Somewhat open,No,,No,No,No,No,0,Not applicable to me,Not applicable to me,35,Male,United States of America,Never
128,Yes,I am not sure,No,I don't know,I don't know,Somewhat easy,Maybe,No,Maybe,Maybe,Yes,No,Some of my previous employers,"Yes, I think it would","Yes, I think they would",Somewhat not open,No,,Yes,Maybe,No,No,1,Never,Often,29,Female,United States of America,Always
129,Yes,Yes,No,No,I don't know,Neither easy nor difficult,Maybe,No,Yes,Yes,No,No,"No, at none of my previous employers","Yes, I think it would","Yes, I think they would",Somewhat open,No,,I don't know,Yes,Maybe,No,0,Often,Sometimes,30,Male,United States of America,Sometimes
130,Yes,Yes,No,Yes,I don't know,Somewhat difficult,Maybe,Maybe,No,No,I don't know,Yes,,"Yes, I think it would","Yes, I think they would",Somewhat open,"Yes, I experienced",No,Yes,Yes,Yes,Yes,1,Sometimes,Sometimes,29,Female,United States of America,Never
131,I don't know,No,No,Yes,No,Somewhat difficult,Maybe,Maybe,No,No,No,No,,"Yes, I think it would","Yes, I think they would",Not open at all,Maybe/Not sure,No,I don't know,Yes,Yes,Yes,1,Never,Often,25,Female,United States of America,Sometimes
132,Yes,Yes,Yes,Yes,Yes,Very easy,No,No,Maybe,Yes,Yes,No,Some of my previous employers,Maybe,Maybe,Somewhat open,"Yes, I observed",Maybe,Yes,Yes,No,No,1,Not applicable to me,Not applicable to me,27,Male,United States of America,Never
133,Yes,Yes,I don't know,I don't know,Yes,Very easy,No,No,Yes,Yes,Yes,No,Some of my previous employers,Maybe,"No, I don't think they would",Very open,No,,Yes,No,No,No,0,Not applicable to me,Not applicable to me,38,Female,United States of America,Always
134,Yes,Yes,Yes,Yes,No,Very difficult,Yes,No,Maybe,No,No,No,"No, at none of my previous employers","Yes, I think it would","Yes, I think they would",Somewhat open,Maybe/Not sure,No,Yes,Yes,Yes,Yes,1,Never,Sometimes,49,Male,United States of America,Sometimes
135,Yes,Yes,No,Yes,Yes,Very easy,No,No,Yes,Yes,Yes,No,"Yes, at all of my previous employers",Maybe,"No, I don't think they would",Very open,No,,Yes,No,No,No,0,Not applicable to me,Not applicable to me,30,Male,United States of America,Sometimes
136,,,,,,,,,,,,,"No, at none of my previous employers",Maybe,"Yes, I think they would",Somewhat not open,No,,Yes,Yes,Maybe,Yes,1,Sometimes,Sometimes,29,Male,United States of America,Sometimes
137,I don't know,No,No,I don't know,I don't know,Somewhat easy,Maybe,No,Yes,Maybe,No,No,Some of my previous employers,Maybe,"No, I don't think they would",Somewhat open,No,,No,Yes,No,No,1,Rarely,Often,28,Male,United States of America,Sometimes
138,I don't know,I am not sure,No,I don't know,I don't know,Neither easy nor difficult,Maybe,Maybe,Maybe,Maybe,I don't know,No,Some of my previous employers,Maybe,Maybe,Neutral,No,,I don't know,Maybe,Maybe,Yes,1,Sometimes,Sometimes,37,Female,United States of America,Sometimes
139,No,N/A,No,No,I don't know,Somewhat easy,No,No,Maybe,Yes,Yes,No,"No, at none of my previous employers","No, it has not",Maybe,Somewhat open,"Yes, I observed",No,Yes,Yes,Yes,Yes,1,Sometimes,Often,31,Female,United States of America,Always
140,No,I am not sure,No,I don't know,I don't know,Somewhat difficult,Maybe,Maybe,No,No,No,No,I don't know,"Yes, I think it would","Yes, I think they would",Not applicable to me (I do not have a mental illness),N/A,,No,Maybe,No,No,0,Not applicable to me,Not applicable to me,36,Male,United States of America,Never
141,Yes,Yes,No,Yes,I don't know,I don't know,Maybe,No,Maybe,Maybe,I don't know,No,Some of my previous employers,Maybe,Maybe,Somewhat open,Maybe/Not sure,N/A,Yes,Yes,Yes,Yes,1,Often,Often,30,Male,United States of America,Never
142,Yes,Yes,Yes,Yes,I don't know,Somewhat easy,No,No,Maybe,Yes,Yes,No,"No, at none of my previous employers",Maybe,"No, I don't think they would",Somewhat open,"Yes, I observed",No,Yes,Yes,Yes,Yes,1,Rarely,Often,30,Female,United States of America,Sometimes
143,Yes,Yes,Yes,No,Yes,Neither easy nor difficult,Maybe,Maybe,Maybe,Maybe,No,Yes,"No, at none of my previous employers","Yes, it has","Yes, they do",Somewhat not open,"Yes, I experienced",N/A,Yes,Yes,Yes,Yes,1,Rarely,Often,30,Male,United States of America,Sometimes
144,,,,,,,,,,,,,Some of my previous employers,Maybe,"No, I don't think they would",Somewhat open,"Yes, I observed",Yes,Yes,Yes,Yes,Yes,1,Sometimes,Often,29,Male,United States of America,Always
145,Yes,Yes,Yes,Yes,Yes,Somewhat easy,No,No,Maybe,Maybe,Yes,Yes,Some of my previous employers,Maybe,Maybe,Somewhat open,"Yes, I experienced",Yes,Yes,Yes,Maybe,Yes,1,Rarely,Often,28,Male,United States of America,Never
146,Yes,I am not sure,I don't know,I don't know,I don't know,Somewhat easy,No,No,Maybe,Yes,Yes,No,Some of my previous employers,Maybe,Maybe,Somewhat open,No,,No,Yes,Yes,Yes,1,Sometimes,Often,36,Male,United States of America,Sometimes
147,Yes,Yes,No,I don't know,I don't know,Neither easy nor difficult,Maybe,No,Maybe,No,I don't know,No,I don't know,Maybe,Maybe,Somewhat not open,Maybe/Not sure,No,Yes,Maybe,Maybe,Yes,1,Sometimes,Often,37,Female,United States of America,Sometimes
148,Yes,I am not sure,No,Yes,Yes,Very easy,No,No,Yes,Yes,Yes,No,Some of my previous employers,"No, I don't think it would","No, I don't think they would",Very open,No,,Yes,Yes,Maybe,No,1,Never,Often,29,Male,United States of America,Sometimes
149,Yes,Yes,I don't know,Yes,Yes,Very easy,No,No,Yes,Yes,Yes,No,Some of my previous employers,"No, I don't think it would","No, I don't think they would",Somewhat open,Maybe/Not sure,No,Yes,Yes,Yes,Yes,1,Rarely,Often,25,Male,United States of America,Sometimes
150,Yes,No,Yes,Yes,Yes,Neither easy nor difficult,No,No,Maybe,Yes,No,No,"No, at none of my previous employers","Yes, I think it would","Yes, I think they would",Somewhat open,"Yes, I observed",Yes,No,No,No,No,0,Not applicable to me,Not applicable to me,34,Female,United States of America,Sometimes
151,Yes,Yes,No,Yes,I don't know,Neither easy nor difficult,Maybe,No,Maybe,Yes,I don't know,No,Some of my previous employers,Maybe,Maybe,Somewhat open,"Yes, I experienced",Maybe,Yes,Yes,Yes,Yes,1,Never,Often,40,Female,United States of America,Sometimes
152,Yes,Yes,Yes,Yes,I don't know,Somewhat difficult,Yes,Maybe,Maybe,No,No,No,Some of my previous employers,"Yes, I think it would","Yes, I think they would",Very open,Maybe/Not sure,No,No,Maybe,Maybe,No,0,Not applicable to me,Sometimes,32,Male,United States of America,Always
153,Yes,I am not sure,Yes,I don't know,I don't know,Somewhat difficult,Maybe,No,Maybe,Maybe,No,No,Some of my previous employers,Maybe,"No, I don't think they would",Somewhat open,"Yes, I experienced",No,Yes,Yes,Yes,Yes,1,Sometimes,Often,31,Female,United States of America,Sometimes
154,Yes,Yes,I don't know,Yes,Yes,Very easy,No,No,Yes,Yes,Yes,No,Some of my previous employers,Maybe,"No, I don't think they would",Somewhat open,Maybe/Not sure,No,Yes,No,No,No,1,Sometimes,Often,28,Female,United States of America,Sometimes
155,Yes,Yes,No,Yes,Yes,Somewhat easy,Maybe,No,Maybe,Maybe,I don't know,No,"No, at none of my previous employers",Maybe,Maybe,Somewhat not open,"Yes, I observed",Yes,No,Yes,Yes,Yes,1,Sometimes,Often,28,Female,United States of America,Sometimes
156,Yes,Yes,Yes,Yes,Yes,Very easy,No,No,Yes,Yes,Yes,No,Some of my previous employers,Maybe,"No, I don't think they would",Very open,No,,Yes,Yes,No,No,1,Rarely,Often,40,Male,United States of America,Sometimes
157,Yes,Yes,Yes,Yes,Yes,Somewhat easy,No,No,Yes,Yes,Yes,No,Some of my previous employers,Maybe,"No, I don't think they would",Somewhat open,"Yes, I experienced",Maybe,No,Yes,Yes,Yes,1,Sometimes,Often,42,Male,United States of America,Sometimes
158,Yes,I am not sure,I don't know,Yes,I don't know,Very easy,No,No,Maybe,Maybe,Yes,No,Some of my previous employers,Maybe,"No, I don't think they would",Neutral,No,,I don't know,No,No,No,0,Not applicable to me,Not applicable to me,36,Male,United States of America,Never
159,Yes,Yes,No,No,I don't know,Very difficult,Maybe,Maybe,Maybe,Maybe,No,No,,Maybe,Maybe,Somewhat open,Maybe/Not sure,N/A,I don't know,Maybe,Yes,Yes,1,Sometimes,Often,24,Male,United States of America,Never
160,I don't know,I am not sure,No,Yes,I don't know,Very difficult,Yes,Yes,No,Maybe,No,Yes,"Yes, at all of my previous employers","Yes, I think it would","Yes, I think they would",Not open at all,Maybe/Not sure,Maybe,I don't know,Maybe,Maybe,No,1,Not applicable to me,Sometimes,44,Male,United States of America,Never
161,Yes,I am not sure,I don't know,I don't know,I don't know,Neither easy nor difficult,No,No,Yes,No,I don't know,No,Some of my previous employers,"No, I don't think it would","No, I don't think they would",Somewhat open,No,,No,No,Yes,Yes,1,Never,Sometimes,31,Male,United States of America,Always
162,,,,,,,,,,,,,Some of my previous employers,"Yes, it has","Yes, they do",Very open,"Yes, I experienced",Yes,Yes,Yes,Maybe,No,1,Sometimes,Often,49,Male,United States of America,Sometimes
163,Yes,No,Yes,I don't know,Yes,Very difficult,Maybe,Maybe,Maybe,No,I don't know,No,Some of my previous employers,Maybe,Maybe,Somewhat open,Maybe/Not sure,No,Yes,No,No,No,0,Not applicable to me,Not applicable to me,27,Female,United States of America,Sometimes
164,Yes,I am not sure,I don't know,Yes,I don't know,Somewhat easy,No,No,No,Maybe,I don't know,No,Some of my previous employers,"Yes, I think it would",Maybe,Not open at all,"Yes, I observed",N/A,Yes,Maybe,No,No,1,Not applicable to me,Sometimes,27,Male,United States of America,Always
165,Yes,Yes,No,No,I don't know,I don't know,No,No,Maybe,Maybe,I don't know,No,"No, at none of my previous employers","No, I don't think it would","No, I don't think they would",Not applicable to me (I do not have a mental illness),No,,No,Yes,No,Yes,1,Not applicable to me,Not applicable to me,28,Male,United States of America,Sometimes
166,Yes,Yes,No,No,I don't know,Very difficult,Yes,Maybe,No,No,No,No,"No, at none of my previous employers","Yes, it has","Yes, I think they would",Somewhat open,No,,Yes,Yes,Maybe,Yes,1,Rarely,Sometimes,20,Female,United States of America,Never
167,I don't know,No,No,I don't know,I don't know,Somewhat difficult,Yes,Maybe,No,No,I don't know,No,"No, at none of my previous employers",Maybe,"Yes, I think they would",Somewhat not open,Maybe/Not sure,No,Yes,Yes,Yes,No,0,Sometimes,Sometimes,29,Male,United States of America,Never
168,Yes,No,No,No,I don't know,Very easy,Maybe,No,Maybe,Maybe,No,Yes,Some of my previous employers,"Yes, it has",Maybe,Somewhat open,"Yes, I experienced",Yes,Yes,Yes,Yes,Yes,1,Sometimes,Often,44,Female,United States of America,Always
